"home",17.5,-0.25,0.00
"store",18.3,-13.10,0.00
"ref",44.25,-14.5,-1.55
"line_1",49.00,-45.00,1.55
"line_2",49.00,-43.00,1.55
"line_3",49.00,-41.00,1.55
"line_4",49.00,-39.00,1.55
"line_5",49.00,-37.00,1.55
"line_6",49.00,-35.00,1.55
"line_7",49.00,-33.00,1.55
"line_8",49.00,-31.00,1.55
